"APPLIANCE","POOL","SHARE","PROJECT","EXPORT","DATACENTER"
"BO1ZFSCRM-M203J","Pool_CRMRe_01","backup1","ESSBR01","@192.168.8.0/22","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMRe_01","backup2","ESSBR01","@192.168.8.0/22","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMRe_01","backup4","ESSBR01","@192.168.8.0/22","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMRe_01","backup3","ESSBR01","@192.168.8.0/22","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","test","PRJ_OGG","on","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","FS_OGG_3","PRJ_OGG","rw","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","FS_OGG_3","PRJ_OGG","root=@10.242.19.23/24","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","SECR01","PRJ_OGG","rw","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","SECR01","PRJ_OGG","root=@10.249.132.210/24","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","SECR01","PRJ_OGG","@10.249.132.212/24","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","SECR01","PRJ_OGG","@10.249.132.34/24","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","FS_OGG","PRJ_OGG","rw","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","FS_OGG","PRJ_OGG","root=@10.242.19.23/26","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","FS_OGG_2","PRJ_OGG","rw","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","FS_OGG_2","PRJ_OGG","root=@10.242.19.23/24","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","CRMBW_BCSECR01","PRJ_OGG","rw","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","CRMBW_BCSECR01","PRJ_OGG","root=@10.249.132.212/24","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","CRMBW_BCSECR01","PRJ_OGG","@10.249.132.210/24","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","CRMBW_BCSECR01","PRJ_OGG","@10.249.132.34/24","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","FS_MIGR","TEMP_MIGR","on","Bologna"
"BO1ZFSCRM-M203J","Pool_CRMbo_01","FS_B","PRJ_TEST","@192.168.8.0/22","Bologna"
